"id","loss"
4,1501.99491390899
6,1814.01482971206
9,9828.16447822585
12,5814.97583777895
15,738.870776540335
17,2138.27997385832
21,2147.68612434095
28,795.908609741618
32,2475.01574611282
43,3028.66367546091
46,2609.48601097505
50,905.699627485583
54,1112.40843318069
62,2056.91685939825
70,1801.35596699249
71,4508.39837863941
75,2133.7658280198
77,2668.98086650481
81,2810.10893103438
83,2506.9013073745
87,1764.39148456209
97,1856.18129382789
103,1076.16411952561
119,1258.33311744301
120,1791.28977667972
127,1003.45740636618
138,4450.71809638941
141,3108.97526559676
148,707.005197442202
150,2417.21175487312
151,2494.72253270212
158,1514.9479026325
160,5121.7339434613
165,2167.45043056698
168,3523.50843350739
169,3200.73121464358
177,2928.64470306195
178,3120.21787960572
184,2168.92369833582
194,10353.1553358636
198,1598.41170049472
203,4361.98690743255
211,2737.2905865602
217,1253.43869751993
219,1248.74253159873
221,4044.66820598986
227,1576.20498057226
230,1269.14364922239
235,2940.81095864097
240,746.859908203614
243,3007.46831466474
249,7285.88303427583
253,2494.86409631045
258,1417.77638529872
261,1617.70292435842
263,3611.61653134248
264,2586.21127853388
265,3674.59425242021
268,1603.57542304039
271,1065.67434720468
274,4786.82808451311
275,772.148643150923
279,1704.66187293031
282,1616.75748779675
286,3430.85547443219
288,1241.39024747133
294,2452.12060159156
296,1246.84866190211
297,1318.31060336834
300,883.917091024941
303,8910.00155626118
314,1282.08182725643
315,4183.09677305025
321,2287.80523574684
323,3067.18309906655
330,3432.82246124402
341,1507.39836497689
342,3725.23468620064
352,1642.82157186453
353,3669.97489939579
360,2887.07999745766
361,2226.12849901629
362,3467.76351282421
366,1269.33792521759
372,3977.6953409013
376,3742.37651338955
377,2140.07218164715
379,1684.1095925958
380,3849.60880977987
387,1486.27252532051
392,1944.48043445569
394,9697.12281201512
395,1451.75444859029
397,1615.06079075344
407,5197.6733786338
411,8254.14489073002
416,2651.45798866817
417,1480.336915216
419,3694.39451093694
428,6041.90874187962
431,1831.39475811049
436,6213.19361902575
438,1429.85648912405
445,6949.25522195429
446,7454.95774840409
455,1311.24193751021
456,1184.85750355388
461,967.818283363007
463,1611.89638716741
464,3519.47504811771
466,1671.24917916896
467,1217.67973785222
470,1234.10479021285
475,1429.06853545051
482,2829.09306556334
490,3296.88315729052
496,1561.49249335918
497,4108.63281586627
508,3017.67899707911
510,1723.21863334796
512,2385.35316612058
513,2936.5258870559
523,1553.1769336442
531,4214.77155076698
532,2238.85604824928
533,1270.43514385383
537,1201.55808443867
544,4651.94061995732
547,2710.12971393501
556,7122.93850177671
565,1158.91796688426
566,1190.59577283069
571,1528.64224755935
573,2023.29865313717
574,903.237858192292
581,2449.18750902386
585,2673.17378373192
589,2138.31769981092
597,1803.55967052549
601,3048.6329003826
602,1760.97060252993
613,1554.29047317604
616,1541.32738935495
619,2164.3603408573
622,2260.45832040933
623,1636.80389425658
629,1422.64687252355
634,1419.09596956471
638,829.800018779219
642,1102.37248015277
643,2345.31553450099
645,1099.14707541587
648,6009.93954043801
652,1297.79411614642
664,1022.47917731335
666,2125.9944196403
672,849.912497411416
676,2079.61263874741
678,3497.50556561789
682,1784.09861081161
686,3127.12908062269
688,1754.76194338249
689,1243.25744833777
690,1742.91710731032
692,10805.6110086805
695,1687.87848333839
697,4354.2646292582
698,2086.42341922488
706,2853.62002313422
708,1565.65500856839
712,2723.71071105996
715,4065.62499932825
717,1273.46831817425
725,3051.04990980775
729,1024.84118513118
737,1277.74313882136
739,4445.79291775084
747,3409.0230125531
753,2735.51472868899
758,2154.05005349599
759,2207.35479398407
763,1595.89010666495
773,4119.10407302849
774,2356.42669435402
776,1369.7754438578
788,3669.78590637887
790,3085.0134451262
794,1013.5396531791
801,2873.64068794553
802,1383.25066516963
805,1440.0303268593
809,4513.88363108896
812,1095.17206107215
825,2397.74335707583
828,1789.71199623078
830,1273.38330782986
833,1064.0824772779
850,6196.27607948226
852,5813.54525076108
862,1528.41630109759
863,1307.98718650319
864,1500.04451729991
865,3319.76991512546
868,8566.23810112199
872,1207.38817346435
879,5306.20675230285
880,1549.04611587526
883,1353.07683283231
886,1353.13683751278
923,1767.72544575666
924,1537.31604995878
932,1583.45191499472
945,6385.46622858419
947,6752.28665274037
948,2151.32269423435
955,2867.70811918702
963,4401.12739214295
979,1439.43031108525
989,1629.85127787763
994,2853.1438136515
